genre,promedio,desv_est,cantidad
Action,104.29135802469136,74.44330820182908,170
Adventure,106.70709677419354,66.05226689747876,164
Black Comedy,36.4,38.9593194425746,22
Comedy,27.5946875,21.18929775911347,191
Concert,12.5,3.7859388972001824,4
Documentary,3.590909090909091,2.800162332956625,41
Drama,25.684121863799284,26.41968013464112,386
Horror,13.703846153846154,16.566696700321387,85
Musical,78.7,57.61012642467179,18
Romantic Comedy,23.971612903225807,17.548402984654416,49
Thriller,35.98978102189781,33.88562354509551,155
Western,75.375,68.20334616843537,10
